tanggal,hari,jam,menit_mulai,interval,jumlah_kendaraan,is_weekend,ada_jukir,catatan
2025-01-06,Monday,7,0,07:00,4,False,False,DUMMY - ganti dengan data observasi
2025-01-06,Monday,7,15,07:15,3,False,False,DUMMY - ganti dengan data observasi
2025-01-06,Monday,7,30,07:30,3,False,False,DUMMY - ganti dengan data observasi
2025-01-06,Monday,7,45,07:45,2,False,False,DUMMY - ganti dengan data observasi
2025-01-06,Monday,8,0,08:00,1,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,8,15,08:15,5,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,8,30,08:30,2,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,8,45,08:45,0,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,9,0,09:00,5,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,9,15,09:15,2,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,9,30,09:30,5,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,9,45,09:45,4,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,10,0,10:00,2,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,10,15,10:15,0,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,10,30,10:30,6,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,10,45,10:45,3,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,11,0,11:00,5,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,11,15,11:15,5,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,11,30,11:30,8,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,11,45,11:45,1,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,12,0,12:00,5,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,12,15,12:15,5,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,12,30,12:30,9,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,12,45,12:45,4,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,13,0,13:00,7,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,13,15,13:15,3,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,13,30,13:30,3,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,13,45,13:45,5,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,14,0,14:00,2,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,14,15,14:15,5,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,14,30,14:30,4,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,14,45,14:45,3,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,15,0,15:00,5,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,15,15,15:15,4,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,15,30,15:30,7,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,15,45,15:45,3,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,16,0,16:00,11,False,True,DUMMY - ganti dengan data observasi
2025-01-06,Monday,16,15,16:15,4,False,True,DUMMY - ganti dengan data observasi
